scen.name,model,dag_name,N,betaAY,betaCY,betaAC,betaCR,betaQA,betaQR,betaQY,method,bhat,bhat_lo,bhat_hi,bhat_width,bhat_covers,adj_form_string,unadj_form_string,pR_emp,unique.scen,BhatBias,BhatCover,BhatWidth,BhatRMSE,BhatEstFail,BhatCIFail,BhatEmpSE,pR_Emp_Mean
4,OLS,I(b)-Q,10000,1,1,1,1,1,3,1,MI-adj,1.01252240433354,0.925460088827235,1.09958471983985,0.17412463101261,0.936,Y ~ A + C + Q,Y ~ A + Q,0.2072926,4 MI-adj,0.0125224043335404,0.936,0.17412463101261,0.0449330821350316,0,0,0.0431744750420428,0.2072926
4,OLS,I(b)-Q,10000,1,1,1,1,1,3,1,MI-unadj,0.880132991672831,0.771104662772109,0.989161320573553,0.218056657801445,0.426,Y ~ A + C + Q,Y ~ A + Q,0.2072926,4 MI-unadj,-0.119867008327169,0.426,0.218056657801445,0.131603318745903,0,0,0.0543533633525837,0.2072926
5,OLS,I(c),10000,1,1,1,1,1,3,1,gold-std,0.999480933997143,0.923800289276741,1.07516157871755,0.151361289440804,0.943,Y ~ A * C + Q,Y ~ A + Q,0.2746497,5 gold-std,-0.00051906600285684,0.943,0.151361289440804,0.0384762161479534,0,0,0.0384919655377544,0.2746497
5,OLS,I(c),10000,1,1,1,1,1,3,1,CC-unadj,0.431596895649244,0.296477259334856,0.566716531963633,0.270239272628777,0,Y ~ A * C + Q,Y ~ A + Q,0.2746497,5 CC-unadj,-0.568403104350756,0,0.270239272628777,0.572460882695877,0,0,0.0680735425004101,0.2746497
5,OLS,I(c),10000,1,1,1,1,1,3,1,CC-adj,0.999972070408364,0.909497889373873,1.09044625144285,0.180948362068981,0.953,Y ~ A * C + Q,Y ~ A + Q,0.2746497,5 CC-adj,-2.79295916361142e-05,0.953,0.180948362068981,0.0456590699597372,0,0,0.0456819080846273,0.2746497
5,OLS,I(c),10000,1,1,1,1,1,3,1,MI-adj,0.956748287889535,0.850021478612115,1.06347509716695,0.213453618554839,0.908,Y ~ A * C + Q,Y ~ A + Q,0.2746497,5 MI-adj,-0.0432517121104654,0.908,0.213453618554839,0.0629572375601456,0,0,0.0457711498531215,0.2746497
5,OLS,I(c),10000,1,1,1,1,1,3,1,MI-unadj,1.10406219981816,0.963529185317215,1.24459521431911,0.281066029001896,0.689,Y ~ A * C + Q,Y ~ A + Q,0.2746497,5 MI-unadj,0.104062199818163,0.689,0.281066029001896,0.125046450548478,0,0,0.0693720826386762,0.2746497
6,OLS,I(c)-Q,10000,1,1,1,1,1,3,1,gold-std,1.0019407280528,0.926269418302507,1.0776120378031,0.151342619500588,0.961,Y ~ A * C + Q,Y ~ A + Q,0.1787436,6 gold-std,0.00194072805280115,0.961,0.151342619500588,0.037571978856907,0,0,0.0375405975753617,0.1787436
6,OLS,I(c)-Q,10000,1,1,1,1,1,3,1,CC-unadj,0.432955427432414,0.262043902696075,0.603866952168753,0.341823049472677,0,Y ~ A * C + Q,Y ~ A + Q,0.1787436,6 CC-unadj,-0.567044572567586,0,0.341823049472677,0.572830007872705,0,0,0.0812482117526279,0.1787436
6,OLS,I(c)-Q,10000,1,1,1,1,1,3,1,CC-adj,1.0014109500302,0.889111232680987,1.11371066737941,0.224599434698424,0.957,Y ~ A * C + Q,Y ~ A + Q,0.1787436,6 CC-adj,0.00141095003019878,0.957,0.224599434698424,0.0564960104478544,0,0,0.0565066493251397,0.1787436
6,OLS,I(c)-Q,10000,1,1,1,1,1,3,1,MI-adj,0.513970257451399,0.403580353315424,0.624360161587374,0.22077980827195,0,Y ~ A * C + Q,Y ~ A + Q,0.1787436,6 MI-adj,-0.486029742548601,0,0.22077980827195,0.488662218797065,0,0,0.0506796000346346,0.1787436
6,OLS,I(c)-Q,10000,1,1,1,1,1,3,1,MI-unadj,0.53349611123612,0.381746640596572,0.685245581875668,0.303498941279096,0,Y ~ A * C + Q,Y ~ A + Q,0.1787436,6 MI-unadj,-0.46650388876388,0,0.303498941279096,0.472662493018156,0,0,0.076090366132213,0.1787436
7,OLS,II(a),10000,1,1,1,1,1,3,1,gold-std,1.00008854312591,0.942895247448011,1.05728183880381,0.1143865913558,0.948,Y ~ A + C + Q,Y ~ A + Q,0.3146314,7 gold-std,8.8543125911567e-05,0.948,0.1143865913558,0.0285690689489885,0,0,0.028583226927492,0.3146314
7,OLS,II(a),10000,1,1,1,1,1,3,1,CC-unadj,0.602579450246777,0.519604314501598,0.685554585991955,0.165950271490357,0,Y ~ A + C + Q,Y ~ A + Q,0.3146314,7 CC-unadj,-0.397420549753223,0,0.165950271490357,0.399636560594099,0,0,0.0420482491024197,0.3146314
